I	AY1
Q	K Y UW1
FOUR	F AO1 R
V	V IY1
THREE	TH R IY1
A	AH0
SEVEN	S EH1 V AH0 N
X	EH1 K S
C	S IY1
J	JH EY1
FIVE	F AY1 V
LAY	L EY1
B	B IY1
Z	Z
BIN	B IH0 N
TWO	T UW1
P	P IY1
E	IY1
S	EH1 S
NOW	N AW0
SIX	S IH1 K S
R	R
T	T
RED	R EH1 D
SET	S EH1 T
BLUE	B L UW1
PLEASE	P L IY1 Z
ONE	W AH2 N
IN	IH2 N
WHITE	W AY1 T
NINE	N AY1 N
U	Y UW1
ZERO	Z IY1 R OW0
EIGHT	EY1 T
L	EH1 L
PLACE	P L EY1 S
K	K
M	EH1 M
G	G
H	EY1 CH
N	EH1 N
SOON	S UW1 N
Y	W AY1
AT	AE1 T
F	F
O	OW1
BY	B AY1
AGAIN	AH0 G EH1 N
WITH	W IH1 TH
GREEN	G R IY1 N
D	D
